Date,Expense/Income,Category,Payment Method,Amount,Balance
2023-11-24 21:57:18,Expense,Housing,Credit Card,4940.87,12327.91
2023-06-11 16:34:09,Expense,Transport,UPI,3198.77,9129.14
2023-08-30 15:55:55,Expense,Transport,Credit Card,3587.56,5541.58
2023-06-29 05:58:34,Expense,Transport,UPI,4242.78,1298.8
2023-09-10 03:20:36,Income,Freelance,Mobile Wallet,1312.56,2611.36
2024-01-05 12:42:20,Expense,Transport,Mobile Wallet,3128.23,-516.87
2023-12-07 03:20:57,Income,Rental Income,Credit Card,365.08,-151.79
2024-01-05 16:17:38,Expense,Shopping,Cash,540.93,-692.72
2023-01-25 10:26:46,Expense,Health,Cash,454.28,-1147.0
2023-03-25 06:41:49,Income,Freelance,Credit Card,3176.27,2029.27
2024-01-30 21:54:25,Income,Rental Income,Other,3575.96,5605.23
2023-08-28 09:16:38,Expense,Miscellaneous,Debit Card,1126.44,4478.79
2023-08-04 04:07:21,Expense,Housing,Cash,1481.44,2997.35
2023-03-06 20:40:48,Income,Rental Income,Mobile Wallet,1771.32,4768.67
2023-03-03 19:10:27,Expense,Transport,Cash,3276.23,1492.44
2023-11-29 12:20:49,Expense,Health,UPI,4342.26,-2849.82
2023-09-08 11:35:37,Expense,Health,Cash,4244.19,-7094.01
2023-10-01 18:41:01,Expense,Bills,Other,3217.58,-10311.59
2023-06-05 03:42:28,Expense,Bills,Cash,4637.64,-14949.23
2023-06-08 15:53:19,Expense,Transport,Credit Card,1910.91,-16860.14
2023-04-14 11:43:43,Expense,Transport,Bank to Bank,914.72,-17774.86
2023-09-09 09:20:04,Income,Investments,Bank to Bank,3288.89,-14485.97
2023-09-27 23:45:16,Expense,Bills,Debit Card,636.81,-15122.78
2023-05-02 04:03:07,Expense,Housing,UPI,1282.17,-16404.95
2023-04-06 21:27:24,Expense,Bills,Debit Card,1324.32,-17729.27
2023-09-01 22:34:27,Expense,Miscellaneous,UPI,4778.87,-22508.14
2023-03-09 01:21:58,Income,Other,Bank to Bank,2796.5,-19711.64
2023-01-08 16:23:49,Expense,Health,UPI,3995.62,-23707.26
2023-11-07 09:52:54,Expense,Miscellaneous,UPI,4502.83,-28210.09
2023-07-29 03:00:23,Income,Other,Mobile Wallet,3714.87,-24495.22
2023-12-05 12:25:56,Income,Investments,Bank to Bank,1844.22,-22651.0
2023-07-29 22:01:58,Income,Rental Income,Other,2003.89,-20647.11
2023-12-15 19:37:11,Income,Other,Bank to Bank,4281.82,-16365.29
2023-02-20 01:16:49,Expense,Shopping,Credit Card,952.64,-17317.93
2023-05-02 05:39:23,Income,Salary,Credit Card,2814.69,-14503.24
2023-08-10 10:10:00,Income,Salary,Other,4251.35,-10251.89
2023-12-12 20:51:30,Expense,Health,Mobile Wallet,3853.61,-14105.5
2023-03-28 15:52:22,Expense,Health,Mobile Wallet,3531.53,-17637.03
2023-08-02 01:40:50,Income,Investments,Cash,2170.1,-15466.93
2023-11-16 18:16:51,Income,Other,Cash,2848.01,-12618.92
2023-11-10 15:56:38,Expense,Housing,Credit Card,1685.88,-14304.8
2023-10-07 19:54:16,Income,Gifts,Cash,1001.59,-13303.21
2023-03-17 22:42:00,Expense,Education,Cash,770.35,-14073.56
2023-07-24 20:09:06,Expense,Food,Cash,1490.36,-15563.92
2024-01-27 03:48:29,Income,Gifts,Bank to Bank,2823.44,-12740.48
2023-07-23 09:16:29,Income,Investments,UPI,2275.86,-10464.62
2024-01-31 02:35:12,Income,Rental Income,Other,3604.58,-6860.04
2023-01-02 20:27:42,Income,Investments,Debit Card,1277.27,-5582.77
2023-06-02 22:09:11,Income,Investments,Credit Card,298.94,-5283.83
2023-08-03 22:00:56,Income,Rental Income,Debit Card,4914.18,-369.65
2023-11-01 09:23:56,Income,Salary,Credit Card,3171.41,2801.76
2023-09-29 21:37:09,Expense,Shopping,UPI,3078.69,-276.93
2023-09-07 07:02:18,Income,Salary,Mobile Wallet,1077.08,800.15
2023-07-25 01:34:30,Expense,Bills,UPI,3072.05,-2271.9
2023-06-13 00:43:24,Expense,Housing,UPI,1912.08,-4183.98
2023-09-07 08:43:00,Income,Gifts,Bank to Bank,3010.64,-1173.34
2023-02-23 12:54:06,Income,Gifts,Other,1604.06,430.72
2023-01-10 01:01:48,Expense,Travel,Cash,1683.3,-1252.58
2023-01-03 09:18:09,Expense,Education,UPI,4628.87,-5881.45
2023-04-26 09:50:08,Expense,Transport,Cash,2759.54,-8640.99
2023-04-19 19:09:45,Income,Salary,UPI,2073.42,-6567.57
2023-05-11 19:19:54,Income,Freelance,Debit Card,2454.68,-4112.89
2023-11-24 01:06:38,Expense,Travel,Cash,216.91,-4329.8
2023-06-22 09:28:23,Expense,Education,Mobile Wallet,811.2,-5141.0
2023-09-20 12:38:11,Expense,Housing,Debit Card,4213.74,-9354.74
2024-01-25 00:46:33,Income,Other,Other,3459.69,-5895.05
2023-10-19 10:44:04,Expense,Education,Bank to Bank,4229.89,-10124.94
2023-02-01 07:17:39,Expense,Shopping,Mobile Wallet,4540.59,-14665.53
2023-07-30 21:39:35,Expense,Bills,Credit Card,2106.35,-16771.88
2023-05-03 19:32:47,Expense,Food,Other,3643.8,-20415.68
2023-10-12 22:49:36,Expense,Travel,Cash,3386.76,-23802.44
2023-08-12 07:12:01,Expense,Travel,Mobile Wallet,4542.11,-28344.55
2024-01-31 12:55:55,Expense,Transport,Other,2185.75,-30530.3
2023-02-13 03:53:23,Expense,Entertainment,Cash,3701.53,-34231.83
2023-04-13 14:00:22,Expense,Housing,Other,1770.33,-36002.16
2023-09-21 21:17:11,Expense,Food,Debit Card,2379.22,-38381.38
2023-09-30 20:51:17,Expense,Education,UPI,4091.38,-42472.76
2023-02-10 08:58:23,Income,Gifts,Mobile Wallet,3431.09,-39041.67
2023-12-06 02:37:29,Expense,Health,Other,1790.7,-40832.37
2023-07-03 03:12:18,Expense,Travel,Other,267.47,-41099.84
2023-05-14 17:48:26,Expense,Housing,Bank to Bank,4685.8,-45785.64
2023-12-20 19:12:31,Expense,Miscellaneous,Debit Card,4867.87,-50653.51
2023-02-21 12:09:36,Income,Other,Mobile Wallet,586.67,-50066.84
2023-07-07 02:16:49,Income,Other,Credit Card,3829.1,-46237.74
2023-07-22 07:32:56,Expense,Miscellaneous,Bank to Bank,2233.38,-48471.12
2023-05-09 14:05:20,Income,Gifts,Credit Card,987.59,-47483.53
2023-07-27 00:21:05,Income,Gifts,Other,547.01,-46936.52
2023-01-14 01:19:34,Income,Gifts,Bank to Bank,2105.81,-44830.71
2023-06-26 11:51:34,Income,Salary,Debit Card,4813.06,-40017.65
2023-08-04 21:00:58,Expense,Food,Debit Card,515.26,-40532.91
2023-11-13 14:32:02,Income,Salary,Other,1989.21,-38543.7
2023-02-14 21:29:04,Expense,Transport,Mobile Wallet,1974.26,-40517.96
2023-10-29 10:05:57,Expense,Entertainment,Other,181.43,-40699.39
2023-05-12 18:23:24,Expense,Food,Debit Card,3177.57,-43876.96
2023-03-10 02:27:41,Income,Investments,Other,3046.12,-40830.84
2023-06-10 23:51:33,Expense,Health,UPI,4242.83,-45073.67
2024-01-07 12:22:18,Expense,Entertainment,Debit Card,2894.27,-47967.94
2023-02-18 01:12:20,Income,Gifts,Credit Card,4160.55,-43807.39
2023-04-10 09:15:30,Income,Gifts,UPI,1807.31,-42000.08
2023-12-05 21:10:45,Income,Rental Income,UPI,1898.42,-40101.66
2023-01-22 08:35:23,Expense,Health,UPI,880.3,-40981.96
2023-10-15 16:35:35,Income,Salary,Credit Card,914.53,-40067.43
2023-05-16 23:34:36,Income,Salary,Credit Card,714.85,-39352.58
2023-08-09 20:27:30,Expense,Food,Credit Card,2925.76,-42278.34
2023-10-29 20:47:48,Income,Rental Income,UPI,2112.57,-40165.77
2024-01-05 07:46:06,Expense,Shopping,UPI,1152.97,-41318.74
2023-07-20 22:10:30,Income,Rental Income,UPI,2842.3,-38476.44
2024-01-21 23:46:27,Expense,Travel,Cash,3111.55,-41587.99
2023-02-26 10:50:16,Income,Gifts,Bank to Bank,3417.57,-38170.42
2023-09-18 10:49:51,Income,Freelance,Credit Card,1913.09,-36257.33
2023-06-03 08:28:00,Expense,Bills,Mobile Wallet,401.06,-36658.39
2023-04-06 15:46:44,Expense,Education,Debit Card,1147.49,-37805.88
2023-05-10 14:00:38,Expense,Food,Other,1458.14,-39264.02
2023-12-10 16:23:22,Expense,Housing,Mobile Wallet,1121.65,-40385.67
2023-10-27 13:11:30,Expense,Shopping,Debit Card,1121.33,-41507.0
2024-01-26 15:30:21,Expense,Bills,Mobile Wallet,4843.59,-46350.59
2023-04-08 17:04:22,Income,Investments,Bank to Bank,768.84,-45581.75
2023-02-08 16:50:10,Expense,Food,Cash,2950.22,-48531.97
2023-02-15 08:24:32,Expense,Bills,Other,1556.3,-50088.27
2023-01-19 19:26:41,Income,Freelance,Cash,1431.24,-48657.03
2023-02-13 20:03:20,Income,Other,Debit Card,1154.18,-47502.85
2023-12-20 14:39:20,Expense,Transport,Cash,4328.12,-51830.97
2023-10-10 20:37:53,Income,Salary,Credit Card,3751.78,-48079.19
2023-02-09 19:16:14,Expense,Food,UPI,4677.57,-52756.76
2023-08-06 11:15:49,Expense,Food,Mobile Wallet,2075.24,-54832.0
2023-05-31 10:01:34,Expense,Miscellaneous,UPI,4469.12,-59301.12
2023-10-18 00:06:57,Expense,Transport,Bank to Bank,1140.0,-60441.12
2023-05-28 05:10:40,Income,Gifts,Debit Card,493.3,-59947.82
2023-11-13 16:34:44,Income,Gifts,Cash,2704.26,-57243.56
2023-05-13 14:33:09,Income,Freelance,Debit Card,3447.48,-53796.08
2023-05-21 03:21:17,Expense,Travel,Mobile Wallet,1186.66,-54982.74
2023-12-14 02:23:59,Expense,Education,Cash,3349.62,-58332.36
2023-02-23 09:47:58,Expense,Shopping,Bank to Bank,345.98,-58678.34
2023-03-01 06:27:47,Expense,Food,Cash,4831.91,-63510.25
2023-05-25 19:40:55,Income,Gifts,UPI,1294.79,-62215.46
2023-09-04 13:37:44,Income,Gifts,Mobile Wallet,970.2,-61245.26
2023-06-12 14:07:50,Expense,Health,Cash,1549.4,-62794.66
2023-08-06 15:07:27,Income,Salary,Cash,4709.3,-58085.36
2024-01-12 13:21:01,Expense,Housing,Cash,4820.76,-62906.12
2023-01-08 19:04:39,Expense,Health,Mobile Wallet,4639.65,-67545.77
2023-03-30 05:57:25,Expense,Miscellaneous,Cash,1390.8,-68936.57
2023-05-01 09:56:37,Income,Freelance,Debit Card,4426.27,-64510.3
2023-03-07 13:09:54,Income,Other,UPI,3666.01,-60844.29
2023-06-29 03:58:13,Income,Investments,UPI,1462.06,-59382.23
2023-02-04 06:48:33,Income,Investments,Bank to Bank,3262.23,-56120.0
2023-09-07 22:06:36,Income,Rental Income,Debit Card,1443.28,-54676.72
2023-02-09 20:57:13,Expense,Food,Debit Card,2586.63,-57263.35
2023-02-14 13:48:48,Income,Gifts,Cash,3622.82,-53640.53
2023-04-13 18:56:08,Income,Freelance,UPI,2194.41,-51446.12
2023-04-28 22:05:53,Income,Investments,Cash,1456.68,-49989.44
2023-08-24 13:56:38,Expense,Travel,Cash,1274.71,-51264.15
2023-01-17 09:47:20,Expense,Education,Credit Card,3614.03,-54878.18
2023-04-29 03:50:55,Expense,Housing,Credit Card,560.17,-55438.35
2023-10-09 04:56:31,Expense,Shopping,Mobile Wallet,300.86,-55739.21
2023-11-07 08:15:00,Expense,Food,Credit Card,728.7,-56467.91
2023-01-25 18:45:18,Expense,Health,Other,319.08,-56786.99
2023-03-30 21:13:51,Income,Gifts,Credit Card,2495.55,-54291.44
2023-09-28 03:46:25,Expense,Transport,Debit Card,1943.39,-56234.83
2023-07-24 16:01:34,Expense,Bills,Bank to Bank,1463.4,-57698.23
2023-08-07 15:01:37,Income,Rental Income,Credit Card,4329.27,-53368.96
2023-03-11 10:51:15,Income,Freelance,Cash,3896.17,-49472.79
2023-05-04 10:01:21,Income,Salary,Bank to Bank,4929.93,-44542.86
2023-04-17 13:21:12,Income,Freelance,Mobile Wallet,757.22,-43785.64
2023-11-21 07:38:27,Income,Rental Income,Cash,2889.56,-40896.08
2023-03-02 06:43:17,Expense,Housing,Bank to Bank,4853.21,-45749.29
2023-03-06 21:25:43,Income,Other,Credit Card,3356.56,-42392.73
2023-03-29 18:52:43,Expense,Food,Mobile Wallet,2249.36,-44642.09
2023-05-18 09:54:05,Expense,Food,Other,1905.41,-46547.5
2023-09-30 09:17:00,Expense,Entertainment,Debit Card,2831.39,-49378.89
2023-02-28 07:25:15,Income,Rental Income,Bank to Bank,970.19,-48408.7
2023-09-09 13:31:37,Income,Other,Credit Card,957.84,-47450.86
2023-01-25 19:03:56,Expense,Miscellaneous,Bank to Bank,670.17,-48121.03
2023-03-29 17:20:41,Expense,Food,UPI,355.92,-48476.95
2023-11-05 06:40:34,Expense,Miscellaneous,Credit Card,4552.12,-53029.07
2023-11-13 09:53:51,Income,Freelance,UPI,4568.36,-48460.71
2023-12-18 19:20:14,Expense,Education,UPI,311.59,-48772.3
2023-02-21 11:03:17,Income,Gifts,Mobile Wallet,1164.24,-47608.06
2023-10-25 06:46:39,Income,Gifts,Credit Card,3901.99,-43706.07
2023-07-06 09:33:24,Income,Other,Bank to Bank,4421.73,-39284.34
2023-08-27 08:06:16,Income,Gifts,Bank to Bank,603.96,-38680.38
2023-10-15 14:17:23,Expense,Education,UPI,4319.5,-42999.88
2023-12-29 08:33:50,Income,Other,Debit Card,4836.63,-38163.25
2023-11-18 17:44:25,Income,Other,Mobile Wallet,2263.98,-35899.27
2023-01-05 17:37:11,Income,Business Income,Mobile Wallet,2429.81,-33469.46
2023-07-02 01:50:14,Expense,Health,Credit Card,2561.0,-36030.46
2023-11-17 07:04:20,Income,Other,Mobile Wallet,1229.25,-34801.21
2023-01-20 05:15:49,Expense,Housing,Bank to Bank,2115.97,-36917.18
2023-10-12 05:03:08,Expense,Housing,Other,600.79,-37517.97
2023-10-17 01:38:05,Income,Rental Income,Credit Card,1006.59,-36511.38
2023-09-29 20:49:48,Expense,Housing,Other,1142.46,-37653.84
2024-01-07 09:43:28,Income,Other,Debit Card,3972.78,-33681.06
2024-01-26 03:26:50,Expense,Shopping,UPI,2865.81,-36546.87
2023-11-01 23:09:00,Expense,Food,UPI,2748.22,-39295.09
2023-11-24 22:47:15,Income,Salary,UPI,2540.51,-36754.58
2023-01-02 02:28:36,Income,Gifts,Cash,3716.81,-33037.77
2023-02-23 14:39:12,Income,Rental Income,Other,1715.02,-31322.75
2023-06-04 13:40:16,Expense,Health,Debit Card,1193.72,-32516.47
2023-08-19 03:55:36,Income,Rental Income,Bank to Bank,1507.87,-31008.6
2023-05-18 07:09:20,Expense,Food,Debit Card,3450.81,-34459.41
2023-02-05 13:45:54,Income,Salary,Cash,1354.52,-33104.89
2023-01-31 22:11:32,Income,Salary,Bank to Bank,2100.37,-31004.52
2023-06-25 12:10:56,Income,Freelance,Mobile Wallet,4956.63,-26047.89
2024-02-05 03:46:34,Expense,Housing,Bank to Bank,2268.74,-28316.63
2023-12-10 14:22:30,Income,Investments,Bank to Bank,1098.72,-27217.91
2023-02-22 07:35:06,Expense,Bills,Credit Card,3009.4,-30227.31
2023-10-18 01:55:57,Income,Investments,Mobile Wallet,1006.17,-29221.14
2023-01-02 10:09:01,Expense,Miscellaneous,Bank to Bank,3951.76,-33172.9
2023-04-14 16:30:40,Expense,Health,Debit Card,461.81,-33634.71
2023-07-07 02:33:10,Income,Salary,Credit Card,3500.81,-30133.9
2023-02-28 21:21:40,Income,Business Income,Cash,1376.02,-28757.88
2023-11-12 00:23:45,Income,Freelance,Bank to Bank,4862.85,-23895.03
2023-10-17 16:32:59,Income,Freelance,Cash,1365.73,-22529.3
2023-10-15 06:30:23,Expense,Housing,UPI,3150.28,-25679.58
2024-02-01 07:09:40,Expense,Transport,Cash,4032.86,-29712.44
2024-01-25 09:36:58,Expense,Health,UPI,2538.96,-32251.4
2023-06-02 03:12:18,Income,Freelance,Bank to Bank,3467.77,-28783.63
2023-11-03 22:05:35,Income,Other,UPI,1334.23,-27449.4
2023-01-19 15:28:07,Income,Salary,Credit Card,910.23,-26539.17
2023-03-06 00:28:49,Expense,Housing,Credit Card,2353.07,-28892.24
2023-03-07 20:27:11,Expense,Entertainment,Other,1800.09,-30692.33
2023-07-12 01:38:39,Income,Business Income,Mobile Wallet,3365.1,-27327.23
2023-12-02 18:43:33,Expense,Bills,Credit Card,1922.53,-29249.76
2024-01-19 14:06:14,Income,Salary,Other,2398.75,-26851.01
2023-09-07 03:43:02,Income,Investments,UPI,4712.11,-22138.9
2023-05-26 18:30:46,Income,Salary,Debit Card,824.66,-21314.24
2023-12-28 19:50:47,Expense,Housing,UPI,747.83,-22062.07
2023-08-08 23:00:49,Income,Other,Other,2759.39,-19302.68
2023-03-17 22:47:23,Income,Freelance,UPI,1457.12,-17845.56
2023-09-24 04:47:04,Income,Business Income,Bank to Bank,2419.04,-15426.52
2023-09-14 05:53:31,Expense,Entertainment,UPI,3741.2,-19167.72
2024-01-06 16:40:56,Expense,Food,UPI,3233.31,-22401.03
2023-06-10 22:30:40,Expense,Housing,Credit Card,3160.06,-25561.09
2023-01-30 18:22:33,Expense,Miscellaneous,Mobile Wallet,380.3,-25941.39
2023-05-15 11:32:41,Income,Salary,Bank to Bank,3118.53,-22822.86
2023-06-13 01:08:44,Expense,Education,Other,1674.06,-24496.92
2023-05-12 20:10:19,Expense,Health,Cash,4510.97,-29007.89
2023-01-23 18:23:27,Income,Other,Credit Card,4995.16,-24012.73
2023-01-13 13:45:45,Expense,Health,Other,2361.04,-26373.77
2023-11-28 05:21:57,Expense,Entertainment,UPI,383.53,-26757.3
2023-06-06 21:44:24,Expense,Travel,UPI,1719.37,-28476.67
2023-02-25 10:23:20,Expense,Education,Bank to Bank,2518.17,-30994.84
2023-05-20 12:11:48,Income,Gifts,Cash,693.65,-30301.19
2023-06-26 06:04:33,Expense,Housing,Bank to Bank,3630.37,-33931.56
2023-10-18 07:53:29,Expense,Housing,Cash,4825.17,-38756.73
2023-08-11 12:11:49,Expense,Education,UPI,853.88,-39610.61
2023-04-14 17:09:21,Expense,Food,Mobile Wallet,2484.97,-42095.58
2023-05-02 03:17:52,Income,Gifts,UPI,1171.85,-40923.73
2023-12-16 22:38:12,Expense,Health,Debit Card,2252.11,-43175.84
2023-12-18 02:27:44,Income,Gifts,Debit Card,3182.96,-39992.88
2023-02-22 03:28:48,Expense,Health,Bank to Bank,4182.67,-44175.55
2023-08-05 16:56:16,Expense,Travel,UPI,2979.94,-47155.49
2023-12-20 05:23:28,Income,Business Income,Mobile Wallet,1349.94,-45805.55
2023-11-22 16:26:27,Expense,Transport,Bank to Bank,704.18,-46509.73
2023-05-07 22:01:38,Expense,Shopping,Mobile Wallet,2371.86,-48881.59
2023-10-19 15:29:54,Income,Freelance,Bank to Bank,1690.88,-47190.71
2023-11-01 10:23:43,Income,Gifts,UPI,2504.74,-44685.97
2023-06-19 22:02:37,Income,Rental Income,Mobile Wallet,787.62,-43898.35
2023-09-15 15:38:16,Expense,Food,Debit Card,3774.25,-47672.6
2023-10-18 05:10:13,Income,Salary,Bank to Bank,3403.34,-44269.26
2023-01-24 01:02:30,Expense,Travel,Credit Card,801.39,-45070.65
2023-09-11 04:30:06,Income,Investments,Debit Card,3599.82,-41470.83
2023-12-08 22:16:15,Income,Other,Bank to Bank,4884.5,-36586.33
2023-06-29 14:41:23,Income,Investments,Credit Card,4698.56,-31887.77
2023-07-09 03:30:09,Expense,Miscellaneous,Mobile Wallet,3965.53,-35853.3
2023-08-15 19:32:34,Income,Business Income,Other,4902.83,-30950.47
2023-04-15 13:13:25,Expense,Shopping,Mobile Wallet,1831.29,-32781.76
2023-06-11 23:50:52,Income,Freelance,Other,2737.23,-30044.53
2023-11-29 22:02:19,Income,Investments,UPI,2879.5,-27165.03
2023-12-19 00:44:43,Income,Gifts,Cash,2491.32,-24673.71
2023-12-16 06:57:24,Expense,Health,Bank to Bank,536.98,-25210.69
2023-02-02 17:32:29,Expense,Miscellaneous,Cash,4004.71,-29215.4
2023-04-27 02:40:46,Expense,Travel,Other,2683.13,-31898.53
2023-05-14 00:18:19,Income,Business Income,UPI,467.52,-31431.01
2023-05-04 15:31:26,Expense,Shopping,Cash,3745.64,-35176.65
2023-11-13 09:52:48,Income,Business Income,Cash,393.45,-34783.2
2023-04-18 00:00:48,Income,Gifts,Cash,1515.97,-33267.23
2023-03-20 01:02:24,Income,Salary,Credit Card,4315.49,-28951.74
2023-12-30 12:23:01,Income,Business Income,Bank to Bank,4174.36,-24777.38
2023-03-21 09:47:25,Income,Freelance,Debit Card,968.75,-23808.63
2023-09-14 06:28:21,Expense,Shopping,Mobile Wallet,1380.69,-25189.32
2024-01-24 18:13:27,Income,Salary,Debit Card,3228.99,-21960.33
2023-04-27 12:51:00,Expense,Shopping,Bank to Bank,2024.4,-23984.73
2024-01-15 12:32:11,Income,Salary,Other,942.28,-23042.45
2023-01-01 15:20:58,Expense,Shopping,Other,3535.14,-26577.59
